おやつタウン,オヤツタウン,,入園チケット,Admission Only,ニュウエンチケット,,500,0,-,
おやつタウン,オヤツタウン,,ホシオ君キッチンA,Hoshio-kun Kitchen A,ホシオクンチケットエー,,40,0,-,
おやつタウン,オヤツタウン,,ホシオ君キッチンA-1,Hoshio-kun Kitchen A-1,ホシオクンチケットエーイチ,,20,0,-,
おやつタウン,オヤツタウン,,ホシオ君キッチンA-２,Hoshio-kun Kitchen A-2,ホシオクンチケットエーニ,,20,0,-,
おやつタウン,オヤツタウン,,ホシオ君キッチンB,Hoshio-kun Kitchen B,ホシオクンキッチンビー,,80,0,-,
おやつタウン,オヤツタウン,,ホシオ君キッチンB,Hoshio-kun Kitchen B,ホシオクンキッチンビートウジツ,,8,0,-,
おやつタウン,オヤツタウン,,久居工場,Hisai Factory,ヒサイコウジョウダンタイ,,200,0,-,本当は７０だがバッファを持たすとのこと
おやつタウン,オヤツタウン,,久居工場,Hisai Factory,ヒサイコウジョウイッパン,,20,0,-,
おやつタウン,オヤツタウン,,青空パーク,AOZORA Rest Area,アオゾラパーク,,200,0,-,オープン時使用予定なし
おやつタウン,オヤツタウン,,第一駐車場,Parking Lot 1,ダイイチチュウシャジョウ,,0,0,-,オープン時使用予定なし
おやつタウン,オヤツタウン,,第二駐車場,Parking Lot 2,ダイニチュウシャジョウ,,0,0,-,オープン時使用予定なし
おやつタウン,オヤツタウン,,第三駐車場,Parking Lot 3,ダイサンチュウシャジョウ,,0,0,-,オープン時使用予定なし
おやつタウン,オヤツタウン,,おやつ広場,OYATSU Plyaground,オヤツヒロバ,,0,0,-,アスレチック
おやつタウン,オヤツタウン,,えんがわルーム,ENGAWA Room,エンガワルーム,,0,0,-,オープン時使用予定なし
おやつタウン,オヤツタウン,,タウンスクエア,Town Square,タウンスエア,,0,0,-,オープン時使用予定なし
おやつタウン,オヤツタウン,,ファクトリーツアー,Factory Tour,ファクトリーツアー,,0,0,-,オープン時使用予定なし
おやつタウン,オヤツタウン,,タウン☆ガーデン,Town ☆ Garden,タウン☆ガーデン,,0,0,-,オープン時使用予定なし
おやつタウン,オヤツタウン,,おやつマルシェ,OYATSU Marche,オヤツマルシェ,,0,0,-,オープン時使用予定なし
おやつタウン,オヤツタウン,,スイーツBar,Sweets Bar,スイーツバー,,0,0,-,オープン時使用予定なし
おやつタウン,オヤツタウン,,期間限定,Limited Edition,キカンゲンテイ,,0,0,-,オープン時使用予定なし
おやつタウン,オヤツタウン,,期間限定,Limited Edition,キカンゲンテイ,,500,0,-,オープン時使用予定なし
おやつタウン,オヤツタウン,,期間限定,Limited Edition,キカンゲンテイ,,300,0,-,オープン時使用予定なし
おやつタウン,オヤツタウン,,期間限定,Limited Edition,キカンゲンテイ,,100,0,-,オープン時使用予定なし
おやつタウン,オヤツタウン,,期間限定,Limited Edition,キカンゲンテイ,,50,0,-,オープン時使用予定なし
おやつタウン,オヤツタウン,,期間限定,Limited Edition,キカンゲンテイ,,20,0,-,オープン時使用予定なし
おやつタウン,オヤツタウン,,期間限定,Limited Edition,キカンゲンテイ,,0,0,-,オープン時使用予定なし
おやつタウン,オヤツタウン,,イベント500,Event 500,イベント,,500,0,-,オープン時使用予定なし
おやつタウン,オヤツタウン,,イベント,Event,イベント,,300,0,-,オープン時使用予定なし
おやつタウン,オヤツタウン,,イベント,Event,イベント,,100,0,-,オープン時使用予定なし
おやつタウン,オヤツタウン,,イベント,Event,イベント,,50,0,-,オープン時使用予定なし
おやつタウン,オヤツタウン,,イベント,Event,イベント,,20,0,-,オープン時使用予定なし
